CodFuncionario:1; SalarioAtual:14740.14; TotaldeVendas:6224.53
CodFuncionario:2; SalarioAtual:19188.12; TotaldeVendas:1998.26
CodFuncionario:3; SalarioAtual:25387.11; TotaldeVendas:6930.32
CodFuncionario:4; SalarioAtual:17845.15; TotaldeVendas:4769.35
CodFuncionario:5; SalarioAtual:28466.57; TotaldeVendas:8771.46
CodFuncionario:6; SalarioAtual:24664.9; TotaldeVendas:7735.22
CodFuncionario:7; SalarioAtual:22710.32; TotaldeVendas:8497.77
CodFuncionario:8; SalarioAtual:24666.86; TotaldeVendas:9703.76
CodFuncionario:9; SalarioAtual:17645.44; TotaldeVendas:5671.82
CodFuncionario:10; SalarioAtual:9890.14; TotaldeVendas:6271.82
CodFuncionario:11; SalarioAtual:24990.9; TotaldeVendas:4613.72
CodFuncionario:12; SalarioAtual:13758.56; TotaldeVendas:1456.6
CodFuncionario:13; SalarioAtual:17870.4; TotaldeVendas:6464.39
CodFuncionario:14; SalarioAtual:24959.06; TotaldeVendas:7709.29
CodFuncionario:15; SalarioAtual:6065.12; TotaldeVendas:3436.79
CodFuncionario:16; SalarioAtual:20751.46; TotaldeVendas:5489.82
CodFuncionario:17; SalarioAtual:6922.08; TotaldeVendas:8208.44
CodFuncionario:18; SalarioAtual:20251.94; TotaldeVendas:7674.25
CodFuncionario:19; SalarioAtual:25133.82; TotaldeVendas:3466.73
CodFuncionario:20; SalarioAtual:7072.23; TotaldeVendas:9060.6
CodFuncionario:21; SalarioAtual:16475.06; TotaldeVendas:2137.82
CodFuncionario:22; SalarioAtual:21899.87; TotaldeVendas:9502.68
CodFuncionario:23; SalarioAtual:26133.12; TotaldeVendas:1479.34
CodFuncionario:24; SalarioAtual:12827.87; TotaldeVendas:6958.19
CodFuncionario:25; SalarioAtual:8643.12; TotaldeVendas:2450.17
CodFuncionario:26; SalarioAtual:15831.22; TotaldeVendas:8574.42
CodFuncionario:27; SalarioAtual:16011.38; TotaldeVendas:3794.95
CodFuncionario:28; SalarioAtual:24539.4; TotaldeVendas:4624.55
CodFuncionario:29; SalarioAtual:24625.87; TotaldeVendas:5028.91
CodFuncionario:30; SalarioAtual:18956.49; TotaldeVendas:4033.16
CodFuncionario:31; SalarioAtual:8566.85; TotaldeVendas:4490.64
CodFuncionario:32; SalarioAtual:11617.24; TotaldeVendas:7993.61
CodFuncionario:33; SalarioAtual:28524.39; TotaldeVendas:9294.5
CodFuncionario:34; SalarioAtual:5799.51; TotaldeVendas:6640.15
CodFuncionario:35; SalarioAtual:12315.89; TotaldeVendas:6670.31
CodFuncionario:36; SalarioAtual:21805.3; TotaldeVendas:5525.08
CodFuncionario:37; SalarioAtual:6717.81; TotaldeVendas:7587.85
CodFuncionario:38; SalarioAtual:22523.5; TotaldeVendas:9444.56
CodFuncionario:39; SalarioAtual:10245.53; TotaldeVendas:1093.93
CodFuncionario:40; SalarioAtual:18281.82; TotaldeVendas:7046.13
CodFuncionario:41; SalarioAtual:9987.37; TotaldeVendas:3525.98
CodFuncionario:42; SalarioAtual:23811.88; TotaldeVendas:4257.26
CodFuncionario:43; SalarioAtual:10071.58; TotaldeVendas:6461.86
CodFuncionario:44; SalarioAtual:25285.57; TotaldeVendas:4428.69
CodFuncionario:45; SalarioAtual:24437.53; TotaldeVendas:3045.1
CodFuncionario:46; SalarioAtual:25601.22; TotaldeVendas:6618.21
CodFuncionario:47; SalarioAtual:18024.5; TotaldeVendas:7250.72
CodFuncionario:48; SalarioAtual:18108.33; TotaldeVendas:3277.0
CodFuncionario:49; SalarioAtual:14529.41; TotaldeVendas:9341.62
CodFuncionario:50; SalarioAtual:19143.2; TotaldeVendas:5621.33
CodFuncionario:51; SalarioAtual:28825.01; TotaldeVendas:7111.01
CodFuncionario:52; SalarioAtual:13830.44; TotaldeVendas:4392.88
CodFuncionario:53; SalarioAtual:12758.75; TotaldeVendas:8690.45
CodFuncionario:54; SalarioAtual:14692.68; TotaldeVendas:4254.0
CodFuncionario:55; SalarioAtual:23776.65; TotaldeVendas:9026.99
CodFuncionario:56; SalarioAtual:24059.87; TotaldeVendas:7354.49
CodFuncionario:57; SalarioAtual:21724.42; TotaldeVendas:7534.25
CodFuncionario:58; SalarioAtual:16238.4; TotaldeVendas:6023.42
CodFuncionario:59; SalarioAtual:5059.06; TotaldeVendas:5559.07
CodFuncionario:60; SalarioAtual:13042.67; TotaldeVendas:8909.95
CodFuncionario:61; SalarioAtual:17226.61; TotaldeVendas:3816.86
CodFuncionario:62; SalarioAtual:27300.9; TotaldeVendas:4136.99
CodFuncionario:63; SalarioAtual:15044.74; TotaldeVendas:4252.82
CodFuncionario:64; SalarioAtual:20771.73; TotaldeVendas:9689.05
CodFuncionario:65; SalarioAtual:20976.52; TotaldeVendas:4939.15
