CodFuncionario:1; SalarioAtual:15522.9; TotaldeVendas:3457.17
CodFuncionario:2; SalarioAtual:17223.02; TotaldeVendas:9969.5
CodFuncionario:3; SalarioAtual:23067.48; TotaldeVendas:1230.99
CodFuncionario:4; SalarioAtual:16015.41; TotaldeVendas:8385.59
CodFuncionario:5; SalarioAtual:24934.63; TotaldeVendas:3824.81
CodFuncionario:6; SalarioAtual:14153.67; TotaldeVendas:3182.75
CodFuncionario:7; SalarioAtual:26491.44; TotaldeVendas:6853.48
CodFuncionario:8; SalarioAtual:28977.27; TotaldeVendas:9754.63
CodFuncionario:9; SalarioAtual:6492.45; TotaldeVendas:4935.13
CodFuncionario:10; SalarioAtual:19212.31; TotaldeVendas:2200.8
CodFuncionario:11; SalarioAtual:12789.43; TotaldeVendas:6348.05
CodFuncionario:12; SalarioAtual:29775.78; TotaldeVendas:9078.92
CodFuncionario:13; SalarioAtual:5085.08; TotaldeVendas:8707.62
CodFuncionario:14; SalarioAtual:20557.36; TotaldeVendas:5215.63
CodFuncionario:15; SalarioAtual:11956.5; TotaldeVendas:3970.87
CodFuncionario:16; SalarioAtual:12399.76; TotaldeVendas:9959.1
CodFuncionario:17; SalarioAtual:19144.45; TotaldeVendas:7163.62
CodFuncionario:18; SalarioAtual:11857.19; TotaldeVendas:6096.16
CodFuncionario:19; SalarioAtual:7667.57; TotaldeVendas:8287.72
CodFuncionario:20; SalarioAtual:23155.01; TotaldeVendas:5416.89
CodFuncionario:21; SalarioAtual:19216.43; TotaldeVendas:8982.39
CodFuncionario:22; SalarioAtual:16715.6; TotaldeVendas:1938.83
CodFuncionario:23; SalarioAtual:20329.91; TotaldeVendas:7882.31
CodFuncionario:24; SalarioAtual:7924.42; TotaldeVendas:3426.5
CodFuncionario:25; SalarioAtual:7388.78; TotaldeVendas:5514.28
CodFuncionario:26; SalarioAtual:14220.59; TotaldeVendas:2086.85
CodFuncionario:27; SalarioAtual:21562.61; TotaldeVendas:3708.58
CodFuncionario:28; SalarioAtual:7832.1; TotaldeVendas:9152.79
CodFuncionario:29; SalarioAtual:20793.23; TotaldeVendas:1122.82
CodFuncionario:30; SalarioAtual:11912.14; TotaldeVendas:6095.43
CodFuncionario:31; SalarioAtual:27986.77; TotaldeVendas:4424.94
CodFuncionario:32; SalarioAtual:19029.04; TotaldeVendas:8400.73
CodFuncionario:33; SalarioAtual:12990.31; TotaldeVendas:6810.44
CodFuncionario:34; SalarioAtual:16455.68; TotaldeVendas:6115.54
CodFuncionario:35; SalarioAtual:19382.51; TotaldeVendas:2346.11
CodFuncionario:36; SalarioAtual:10806.72; TotaldeVendas:4930.19
CodFuncionario:37; SalarioAtual:7509.22; TotaldeVendas:7188.32
CodFuncionario:38; SalarioAtual:26329.69; TotaldeVendas:1040.38
CodFuncionario:39; SalarioAtual:22461.6; TotaldeVendas:9414.83
CodFuncionario:40; SalarioAtual:27045.39; TotaldeVendas:1567.21
CodFuncionario:41; SalarioAtual:11237.49; TotaldeVendas:3645.08
CodFuncionario:42; SalarioAtual:6706.92; TotaldeVendas:1320.09
CodFuncionario:43; SalarioAtual:14497.28; TotaldeVendas:7636.48
CodFuncionario:44; SalarioAtual:15736.89; TotaldeVendas:7247.27
CodFuncionario:45; SalarioAtual:15466.94; TotaldeVendas:1889.1
CodFuncionario:46; SalarioAtual:14375.85; TotaldeVendas:6353.02
CodFuncionario:47; SalarioAtual:12453.4; TotaldeVendas:4388.83
CodFuncionario:48; SalarioAtual:26595.98; TotaldeVendas:5297.8
CodFuncionario:49; SalarioAtual:11061.88; TotaldeVendas:7260.07
CodFuncionario:50; SalarioAtual:21490.51; TotaldeVendas:5760.96
CodFuncionario:51; SalarioAtual:5459.62; TotaldeVendas:5188.32
CodFuncionario:52; SalarioAtual:26917.6; TotaldeVendas:5239.33
CodFuncionario:53; SalarioAtual:11107.01; TotaldeVendas:7592.17
CodFuncionario:54; SalarioAtual:28310.8; TotaldeVendas:6359.63
CodFuncionario:55; SalarioAtual:12454.74; TotaldeVendas:8674.46
CodFuncionario:56; SalarioAtual:6475.45; TotaldeVendas:3763.92
CodFuncionario:57; SalarioAtual:12702.46; TotaldeVendas:9758.76
CodFuncionario:58; SalarioAtual:6858.43; TotaldeVendas:8170.47
CodFuncionario:59; SalarioAtual:26682.84; TotaldeVendas:5073.92
CodFuncionario:60; SalarioAtual:16380.56; TotaldeVendas:1993.49
CodFuncionario:61; SalarioAtual:11230.68; TotaldeVendas:6666.42
CodFuncionario:62; SalarioAtual:6858.47; TotaldeVendas:3496.39
CodFuncionario:63; SalarioAtual:25075.23; TotaldeVendas:7525.58
CodFuncionario:64; SalarioAtual:8310.13; TotaldeVendas:5674.21
CodFuncionario:65; SalarioAtual:26852.29; TotaldeVendas:4239.06
CodFuncionario:66; SalarioAtual:21477.65; TotaldeVendas:3267.3
CodFuncionario:67; SalarioAtual:22811.17; TotaldeVendas:5661.74
CodFuncionario:68; SalarioAtual:19433.54; TotaldeVendas:4349.68
CodFuncionario:69; SalarioAtual:19777.89; TotaldeVendas:8580.73
CodFuncionario:70; SalarioAtual:5310.45; TotaldeVendas:6715.88
CodFuncionario:71; SalarioAtual:7168.86; TotaldeVendas:4133.31
CodFuncionario:72; SalarioAtual:17672.83; TotaldeVendas:1812.61
CodFuncionario:73; SalarioAtual:29963.89; TotaldeVendas:7642.63
CodFuncionario:74; SalarioAtual:16569.14; TotaldeVendas:7858.19
CodFuncionario:75; SalarioAtual:9213.87; TotaldeVendas:3456.84
CodFuncionario:76; SalarioAtual:20439.64; TotaldeVendas:5053.24
CodFuncionario:77; SalarioAtual:5077.81; TotaldeVendas:7620.26
CodFuncionario:78; SalarioAtual:28572.3; TotaldeVendas:3289.93
CodFuncionario:79; SalarioAtual:14290.24; TotaldeVendas:7582.77
